Geography,Year,Total_Est,Total_EstErr,HispanicLatino_Est,HispanicLatino_EstErr,HispanicLatino_Pct,HispanicLatino_PctErr,WhiteAlone_Est,WhiteAlone_EstErr,WhiteAlone_Pct,WhiteAlone_PctErr,BlackAlone_Est,BlackAlone_EstErr,BlackAlone_Pct,BlackAlone_PctErr,IndianAlaskaAlone_Est,IndianAlaskaAlone_EstErr,IndianAlaskaAlone_Pct,IndianAlaskaAlone_PctErr,AsianAlone_Est,AsianAlone_EstErr,AsianAlone_Pct,AsianAlone_PctErr,HawaiianPacificAlone_Est,HawaiianPacific_EstErr,HawaiianPacific_Pct,HawaiianPacific_PctErr,MedianHouseholdIncome_Est,MedianHouseholdIncome_EstErr,MeanHouseholdIncome_Est,MeanHouseholdIncome_EstErr,MedianFamilyIncome_Est,MedianFamilyIncome_EstErr,MeanFamilyIncome_Est,MeanFamilyIncome_EstErr,PercapitaIncome_Est,PercapitaIncome_EstErr,PovertyRate_Est,PovertyRate_EstErr,,
San Diego city,"2,018 ","1,425,999 ",111 ,"429,898 ","13,252 ",30 ,1 ,"602,952 ","11,802 ",42 ,1 ,"91,282 ","6,805 ",6 ,1 ,"3,419 ",948 ,0 ,0 ,"237,395 ","9,620 ",17 ,1 ,"5,240 ","1,737 ",0 ,0 ,"79,646 ","2,067 ","108,132 ","2,424 ","92,773 ","3,390 ","123,488 ","2,872 ","40,760 ",897 ,13 ,1 ,,
San Marcos city,"2,018 ","96,834 ",53 ,"45,223 ","4,304 ",47 ,4 ,"39,032 ","4,261 ",40 ,4 ,"1,213 ",911 ,1 ,1 ,0 ,211 ,0 ,0 ,"8,314 ","2,594 ",9 ,3 ,0 ,211 ,0 ,0 ,"74,092 ","5,945 ","103,790 ","12,266 ","100,509 ","21,688 ","120,922 ","14,031 ","33,872 ","3,772 ",11 ,3 ,,
Vista city,"2,018 ","101,227 ",41 ,"46,906 ","5,069 ",46 ,5 ,"42,611 ","4,623 ",42 ,5 ,"4,015 ","2,301 ",4 ,2 ,138 ,159 ,0 ,0 ,"4,833 ","1,474 ",5 ,2 ,283 ,386 ,0 ,0 ,"76,889 ","9,218 ","91,621 ","6,442 ","82,163 ","7,436 ","95,565 ","6,752 ","29,875 ","2,388 ",11 ,3 ,,
San Diego County,"2,019 ","3,338,330 ",*****,"1,140,033 ",*****,34 ,*****,"1,495,234 ","2,230 ",45 ,0 ,"156,423 ","4,873 ",5 ,0 ,"12,301 ","1,704 ",0 ,0 ,"394,644 ","6,024 ",12 ,0 ,"12,648 ","1,571 ",0 ,0 ,"83,985 ","1,908 ","112,786 ","1,727 ","96,164 ","1,431 ","126,563 ","2,053 ","40,389 ",608 ,10 ,1 ,,
Carlsbad city,"2,019 ","115,386 ",37 ,"12,298 ","3,872 ",11 ,3 ,"85,438 ","5,126 ",74 ,4 ,441 ,441 ,0 ,0 ,50 ,91 ,0 ,0 ,"12,311 ","3,203 ",11 ,3 ,0 ,216 ,0 ,0 ,"123,409 ","12,851 ","158,306 ","12,378 ","151,104 ","13,479 ","182,342 ","14,974 ","63,079 ","5,292 ",5 ,2 ,,
Chula Vista city,"2,019 ","274,485 ",52 ,"159,178 ","10,504 ",58 ,4 ,"45,995 ","5,904 ",17 ,2 ,"13,611 ","4,592 ",5 ,2 ,190 ,327 ,0 ,0 ,"47,536 ","8,893 ",17 ,3 ,"1,191 ","1,142 ",0 ,0 ,"87,876 ","5,663 ","104,098 ","4,450 ","90,305 ","6,047 ","109,970 ","5,795 ","33,458 ","1,844 ",9 ,2 ,,
El Cajon city,"2,019 ","102,699 ",36 ,"28,263 ","4,728 ",28 ,5 ,"60,581 ","5,889 ",59 ,6 ,"4,729 ","2,789 ",5 ,3 ,84 ,122 ,0 ,0 ,"4,052 ","2,100 ",4 ,2 ,357 ,548 ,0 ,1 ,"63,236 ","5,616 ","84,355 ","6,755 ","70,428 ","9,287 ","92,405 ","8,760 ","28,264 ","2,495 ",14 ,5 ,,
Escondido city,"2,019 ","151,619 ",42 ,"78,967 ","5,746 ",52 ,4 ,"55,038 ","4,934 ",36 ,3 ,"2,365 ",992 ,2 ,1 ,240 ,269 ,0 ,0 ,"8,289 ","1,935 ",6 ,1 ,819 ,812 ,1 ,1 ,"58,157 ","5,752 ","78,781 ","4,884 ","71,777 ","4,111 ","89,571 ","5,580 ","28,518 ","2,018 ",18 ,4 ,,
Oceanside city,"2,019 ","175,762 ",81 ,"72,833 ","7,563 ",41 ,4 ,"76,626 ","6,876 ",44 ,4 ,"7,312 ","2,266 ",4 ,1 ,"1,286 ",890 ,1 ,1 ,"8,151 ","2,285 ",5 ,1 ,"1,300 ","1,008 ",1 ,1 ,"77,226 ","5,301 ","95,595 ","4,575 ","92,902 ","6,019 ","106,934 ","5,046 ","34,583 ","1,794 ",8 ,2 ,,
San Diego city,"2,019 ","1,423,852 ",72 ,"431,477 ","15,226 ",30 ,1 ,"607,150 ","15,180 ",43 ,1 ,"82,800 ","9,186 ",6 ,1 ,"3,044 ","1,036 ",0 ,0 ,"239,079 ","10,135 ",17 ,1 ,"5,917 ","1,750 ",0 ,0 ,"85,507 ","2,111 ","114,244 ","2,431 ","100,470 ","2,542 ","132,846 ","3,643 ","43,249 ","1,004 ",11 ,1 ,,
San Marcos city,"2,019 ","96,673 ",45 ,"35,991 ","5,387 ",37 ,6 ,"45,047 ","5,709 ",47 ,6 ,"2,121 ","1,589 ",2 ,2 ,189 ,228 ,0 ,0 ,"8,756 ","2,483 ",9 ,3 ,0 ,216 ,0 ,0 ,"80,814 ","13,050 ","110,430 ","10,566 ","102,595 ","9,762 ","128,012 ","13,707 ","36,713 ","3,616 ",11 ,4 ,,
Vista city,"2,019 ","101,639 ",31 ,"57,062 ","5,580 ",56 ,6 ,"35,623 ","4,924 ",35 ,5 ,"1,473 ",691 ,1 ,1 ,"1,169 ","1,566 ",1 ,2 ,"2,750 ","1,049 ",3 ,1 ,"1,483 ","1,476 ",2 ,2 ,"78,656 ","9,138 ","97,242 ","9,201 ","82,059 ","8,866 ","103,300 ","13,104 ","31,778 ","3,598 ",10 ,4 ,,
